,event,link,description,when,location,price,target_age
0,Fall Film Club 2025 #1,https://emelin.org/event/fall-film-club-2025-1/,"Be among the first to see highly critically acclaimed curated films that are not yet available to the public. Curated by film programmer David Schwartz. Exclusive post film interviews. Reserved Seating. Film Club Members Only e-Newsletter. Beer, Wine & Snacks available for purchase at our Lobby Bar. Complimentary Film Club Members Only Reception. Film titles are kept secret until showtime.",2025-09-17,The Emelin,$125 per seat (including all fees),adults
1,Judy Gold,https://emelin.org/event/judy-gold/,"Making her return, two-time Emmy winner Judy Gold brings her edgy and unfiltered humor to the stage for an evening of comedy. Known for her candid takes on everything from parenting and politics to aging and identity, Gold delivers stand-up with sharp timing and infamous crowd work. With stand-up specials on HBO, Comedy Central, and LOGO, and appearances on The Late Show with Stephen Colbert and The Tonight Show, Gold has solidified her place as a comedy powerhouse. Her critically acclaimed book, Yes I Can Say That: When They Come for the Comedians, We Are All in Trouble, tackles the complexities of free speech and cancel culture, reflecting her commitment to speaking truth to power. Gold’s Off-Broadway hits, including 25 Questions for a Jewish Mother and The Judy Show – My Life as a Sitcom, showcase her talent for blending personal narrative with broader social commentary. Her podcast, Kill Me Now, features conversations with a diverse array of guests, further highlighting her versatility and depth as a performer.",2025-09-18,The Emelin,$60 – $72,adults
2,Bostyx – The Ultimate Tribute to Boston and Styx,https://emelin.org/event/bostyx-the-ultimate-tribute-to-boston-and-styx/,"Boston and Styx’s greatest hits brought to life with pitch-perfect energy. ""A dynamic tribute that captures the power and passion of these classic hits."" *– Billboard* Get ready to relive the greatest arena-rock anthems of all time with **Bostyx**, the premier tribute to Boston and Styx. This powerhouse band delivers a thrilling, note-for-note recreation of hits like *More Than a Feeling*, *Peace of Mind*, *Renegade*, and *Come Sail Away*, capturing the soaring harmonies, powerful guitars, and unmistakable energy of two of rock’s most legendary acts. Bostyx features top-tier musicians who have performed on national tours, backed major artists, and earned praise for their authentic and commanding performances. Their show channels the precision, drama, and excitement of these timeless songs — transporting audiences back to the era when giant hooks and soaring vocals ruled the radio. *""Bostyx nails every detail of these classic hits — a perfect tribute for any rock fan.""* *""It’s as close as you can get to seeing the originals in their prime.""* Whether you grew up with these unforgettable melodies or are experiencing them live for the first time, Bostyx promises a night of rock anthems and unforgettable memories.",2025-10-03,Emelin Theatre,$44 – $55,adults
3,Hilary Kole and Birdland Big Band,https://emelin.org/event/hilary-kole-and-birdland-big-band/,"Celebrated jazz vocalist and Birdland Big Band pay homage to Ella Fitzgerald and the jazz greats. Known for her interpretations of the Great American Songbook and collaborations with icons like Oscar Peterson and Quincy Jones, her vocals, described as both smoky and crystalline, breathe new life into jazz classics and contemporary gems alike. Backed by the powerhouse Birdland Big Band, this concert delivers the full impact of big band jazz at its finest.",2025-10-04,The Emelin,$52 – $71,adults
4,Fall Film Club 2025 #2,https://emelin.org/event/fall-film-club-2025-2/,"Be among the first to see highly critically acclaimed curated films that are not yet available to the public. Curated by film programmer David Schwartz. Exclusive post film interviews. Reserved Seating. Film Club Members Only e-Newsletter. Beer, Wine & Snacks available for purchase at our Lobby Bar. Complimentary Film Club Members Only Reception. Film titles are kept secret until showtime.",2025-10-08,The Emelin,$125 per seat (including all fees),adults
5,The Linda Ronstadt Experience,https://emelin.org/event/the-linda-ronstadt-experience/,"American Idol Star Tristan McIntosh creates a stunning portrayal of Linda Ronstadt in the prime of her career. Supported by a superb backing band, Tristan’s formidable vocal talent and stage presence will transport you to a time when Linda Ronstadt ruled the airwaves as one of the most popular female vocalists in music history. The Linda Ronstadt Experience takes you on a Musical Journey of Chart Topping Smash Hits, *You’re No Good*, *When Will I Be Loved*, *That’ll Be The Day*, *Blue Bayou* and many more classic hits by Jackson Brown, Elvis Costello, Tom Petty, Neil Young, Warren Zevon, The Rolling Stones, and Little Feat to name a few!",2025-10-10,Emelin Theatre,$44 – $55,adults
6,Ladies of Laughter,https://emelin.org/event/ladies-of-laughter-3/,"Award-winning comics Katie Hannigan, Veronica Mosey & Regina DeCicco, bring the comedy to the stage.",2025-10-11T20:00:00-04:00,The Emelin,$47 – $59,adults
7,Ailey II,https://emelin.org/event/ailey-ii/,"For 50+ years, Ailey II has brought rising dancers and choreographers together in bold, world-class performances.",2025-10-12,The Emelin,$86 – $98,adults
8,Naturally 7,https://emelin.org/event/naturally-7/,"The world’s premier vocal play group turns voices into instruments. Experience the mind-blowing sounds of Naturally 7, the groundbreaking vocal play group redefining a cappella. Using only their voices, these seven masterful musicians create the sound of an entire band—drums, bass, horns, guitars, and more. Praised worldwide for their jaw-dropping live performances, Naturally 7 blends R&B, pop, gospel, and soul with unmatched technical brilliance and stage presence.",2025-10-17T20:00:00-04:00,Emelin Theatre,$55 – $67,adults
9,Fearless - The Taylor Swift Experience,https://emelin.org/event/fearless-the-taylor-swift-experience/,"Experience every era of Taylor Swift’s music in one unforgettable night with the ultimate live tribute show. Calling all Swifties! Relive the magic of every Taylor era with Fearless – The Taylor Swift Experience, the ultimate live tribute for fans who know every lyric, every outfit, and every beat drop. From the fairy-tale shimmer of *Love Story* to the bold confidence of *Blank Space* and the sparkly chaos of *Cruel Summer,* this high-energy concert recreates the full Taylor experience — with jaw-dropping vocals, dazzling costumes, and Eras-worthy production. Whether you’re a diehard from the *Debut* days or fell in love during *Folklore*, this is your chance to sing, dance, and scream every word with a room full of fans who get it. Fearless isn’t just a show — it’s a Swiftie celebration.",2025-10-19,The Emelin,$41 – $53,adults
