,event,link,description,when,location,price,target_age,organization
0,Navigating College Admissions,https://us02web.zoom.us/meeting/register/UXhdFPoGS_Wawrt6ki3Ugw,"Professionals from Stand Out for College will discuss current college admissions trends, the changing test-optional environment, how to identify “good fit” schools, as well as a timeline to make this fall productive and help reduce stress around college admissions.",2025-11-19T19:30:00,Online,,teens,Larchmont Public Library
1,Sensory Safari,https://larchmont.librarycalendar.com/event/sensory-safari-26785,Explore our sensory stations while practicing early literacy and fine motor skills. Ages 2-4 with a caregiver. No registration is required for this program. Just drop-in!,2025-11-20T10:00:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"children, preschool (3-4)",Larchmont Public Library
2,Time Traveler's Workshop: Lunar Landing,https://larchmont.librarycalendar.com/event/start-art-27787,"This imaginative workshop blends art, science, games, and storytelling into an adventure through time! Our second stop in time is the Apollo 11 mission. Build and test a lunar lander, create beautiful spacescape artwork, simulate a rocket launch, & more",2025-11-20T15:45:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"children, older school age (grades 3-5)",Larchmont Public Library
3,Little Story Writers,https://larchmont.librarycalendar.com/event/little-story-writers-29579,For Children in Grades 2-4 Does your child love telling stories and creating art? This program pairs children with Mamaroneck High School students to help them write & illustrate their own storybooks! Each book will take 3 sessions to create. Child must attend all sessions. Caregivers must stay in the library building for the duration of the program.,2025-11-20T17:15:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"2nd Grade, 3rd Grade, 4th Grade, Children, Kids",Larchmont Public Library
4,Financing Your Education,https://www.larchmontlibrary.org/events/financing-your-education,"Scott Ahrens, from the NYS Department of Financial Services, will cover topics including filling out the FAFSA, grants, scholarships, types of loans, determining the amount of aid you qualify for, and provide an overview of available New York State programs. Q & A will follow.",2025-11-20T18:30:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"adults, teens, 9th Grade and above",Larchmont Public Library
5,Exploring Our Colorful World with Chris McCormack on Zoom or Simulcast In Person,https://larchmont.librarycalendar.com/event/exploring-our-colorful-world-chris-mccormick-zoom-or-simulcast-person-25444,"Join us on a captivating journey through the vivid tapestry of our planet in ""Exploring Our Colorful World"", an immersive program that celebrates the diversity, flavor, and wonder of global cultures. Professional traveler Chris McCormack will transport audiences across continents, weaving together the threads of food, geography, people, and urban vibrance to paint a panoramic portrait of our shared human experience. Chris McCormack will NOT be at the library in person.",2025-11-20T19:00:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,adults,Larchmont Public Library
6,Block & Roll,https://larchmont.librarycalendar.com/event/block-roll-24010,"Meet and make toddler friends during this unstructured playtime full of blocks, balls, and stacking toys! Even a play kitchen. *This is a drop-in, self-guided program, please clean up when you are finished playing*. Caregiver must attend and be engaged with their child. Drop offs will not be permitted.",2025-11-21T10:00:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"children, babies, toddlers, kids",Larchmont Public Library
7,Chair Yoga with Vincenza Madonia,https://larchmont.librarycalendar.com/event/chair-yoga-vincenza-madonia-29154,"Join Certified Yoga Instructor Vincenza Madonia, for these six sessions of Chair Yoga. Chair Yoga consists of arm, leg and head movements, as well as twisting your torso, that are done while seated in a chair. There are also standing movements that use a chair for support. Please sign up if you want reminders or want to be on an email list for this program.",2025-11-21T10:00:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,adults,Larchmont Public Library
8,Yoga with Franklin Shire,https://larchmont.librarycalendar.com/event/yoga-franklin-shire-20002,"All levels welcome. Bring your own mat. Franklin Shire is a certified Kripalu Yoga Instructor, teaching in Westchester since 2007. His classes are gentle to moderate, a breath based meditative practice of patient self-awareness, leaving one feeling renewed, with a sense of stillness and focus. Donations are not required but are welcome. Registration is required for this event. Registration will close on December 26, 2025 @ 11:00am.",2025-11-21T11:30:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,adults,Larchmont Public Library
9,Cute Clay Cafe,https://larchmont.librarycalendar.com/event/tween-27796,Dive into the world of adorable art! Create very own cute food using air-dry clay! This workshop combines creativity and fun as you mold delightful miniature treats. Kids attend the program on their own. Caregivers must stay in the library building for the duration of the program. Kids 10 and older can be dropped off for this program.,2025-11-21T15:45:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"children, kids, Older School Age (Grades 3-5)",Larchmont Public Library
10,QiGONG with Steve Goldstein,https://larchmont.librarycalendar.com/event/qigong-steve-goldstein-19948,"Join certified QiGong teacher Steve Goldstein and learn about the ancient Chinese form of gentle exercise composed of movements that are repeated a number of times and can be performed by just about anyone. Participants are encouraged to wear comfortable clothing. Steve has trained with some of the leading experts in the fields of Energy Medicine, Reiki, Shamanism, Qigong, and Acupressure. Most recently he was an Earth Science teacher at Hommocks Middle School. Please sign up if you want reminders or want to be on an email list for this program.",2025-11-22T10:15:00,"The Village Center (entrance at rear of Library), Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,Adults,Larchmont Public Library
11,Puzzle Swap!,https://larchmont.librarycalendar.com/event/puzzle-swap-29236,"Join the Library for a Puzzle Swap!Do you have a closet full of puzzles you’ve already completed? Would you like to pass those puzzles to someone who also enjoys doing puzzles and get new ones for yourself in return? The Swap is a great way for you to pick up some puzzles to work on during the holidays with friends and family! It’s simple! Bring any puzzles in good condition which you’d like to swap and leave them on the tables set up in the Village Center. When you drop off your puzzles, take a few puzzles home with you! Remember, this is a swap, not a donation drive. Stick around for a while to enjoy refreshments and work on a community puzzle. The remaining puzzles left at the end of the day will be donated to the Library’s circulating puzzle collection, New Jewish Home, Sarah Neuman in Mamaroneck and Puzzles-to-Remember, a non-profit organization that distributes puzzles to facilities that care for people with Alzheimer’s disease.",2025-11-22T13:00:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,adults,Larchmont Public Library
12,Saturday Afternoon Open Play Chess,https://larchmont.librarycalendar.com/event/saturday-afternoon-open-play-chess-22569,Join us for a Saturday afternoon game of chess. Chess pieces are provided.,2025-11-22T13:30:00,"Main Floor Conference Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,adults,Larchmont Public Library
13,"""Intro to Percussion"" with Larchmont Music Academy",https://larchmont.librarycalendar.com/event/lma-program-30274,"Get ready to drum, shake, and tap along! Join the Larchmont Music Academy! faculty and students for an exciting introduction to percussion instruments from around the world. Children ages 4–8 will explore rhythm using drums like the djembe, conga, and more. Enjoy live demonstrations and a chance to make some music of your own in this fun, interactive class for Children Ages 4-8 & their caregivers",2025-11-22T14:30:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"4-8, preschool, younger school age, older school age",Larchmont Public Library
14,Historical Miniatures War Game,https://larchmont.librarycalendar.com/event/historical-miniatures-war-game-29212,"The Battle of Monmouth was fought in NJ on June 28, 1778. Pitting the Continental Army, led by General George Washington, against the British Army commanded by General Sir Henry Clinton, it was the last battle of the Philadelphia campaign, during which the British inflicted two major defeats on Washington and occupied Philadelphia. But Washington had spent the winter at Valley Forge, training and rebuilding his army. Will all the hardship and training pay off?",2025-11-23T14:00:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"teens, 6th Grade and above",Larchmont Public Library
15,Robert the Guitar Guy,https://larchmont.librarycalendar.com/event/robert-guitar-guy-21082,Come and experience the musical talent of Robert the Guitar Guy while you clap and dance along to the beat! AGES 0-3 with a caregiver. Caregiver Must Attend: This program is designed for children and their caregiver. Please plan to attend and be engaged with your child for this program. Drop offs will not be permitted. Drop-in Program: No registration is required for this program. Just drop-in!,2025-11-24T10:00:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"children, babies, toddlers, kids, 0-3",Larchmont Public Library
16,Open Play Mahjong and Canasta,https://larchmont.librarycalendar.com/event/open-play-mahjong-23399,"Come to the library to play Mahjong and/or Canasta! This is open game-play for players of all levels as long as you understand the basics of game play. The library has Mah Jongg sets and playing cards, but players are encouraged to bring their own. This is a drop in program. No registration required.",2025-11-24T12:00:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,adults,Larchmont Public Library
17,Afternoon Stories & Craft,https://larchmont.librarycalendar.com/event/afternoon-stories-craft-27791,Join Linnea or Kristi for some fun stories and an accompanying craft. This program is designed for children and their caregiver. Please plan to attend and be engaged with your child for this program. Drop offs will not be permitted. Registration is required.,2025-11-24T15:45:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"children, kids, Preschool (3-4), Younger School Age (Grades K-2), age 3 to 7",Larchmont Public Library
18,Project Linus: Knitting and Crochet Group,https://larchmont.librarycalendar.com/event/project-linus-knitting-and-crochet-group-19586,"Come join our weekly knitting and crocheting group and help make security blankets for children who need a little comfort. We donate to Hospitals, Day Care Centers, Food Banks (such as L/M Food Pantry), and other places where there are children who need a little support. No registration required. Bring your own materials! If you have questions or wish to make a donation please contact Doris-Patt Smith at momdsmith1@yahoo.com",2025-11-25T10:00:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,adults,Larchmont Public Library
19,Baby Lapsit,https://larchmont.librarycalendar.com/event/baby-lapsit-27800,Bounce & Clap along! It's B.Y.O.B (Bring Your Own Baby)! *This is intended to be an interactive program between babies & their caregivers. Be prepared to have your baby in your lap!* For Infants 0-12 Months. This program is designed for children and their caregiver. Please plan to attend and be engaged with your child for this program. Drop offs will not be permitted.,2025-11-25T11:15:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"Babies (0-12 months), Children, 0-3 months, 9-12 months",Larchmont Public Library
20,BUTTER DANCE PARTY!,https://larchmont.librarycalendar.com/event/childrens-program-24066,Get ready to shake it off at our Butter Making Dance Extravaganza! You can take your butter home and use it on your Thanksgiving table. Registration is required for this event. This program is designed for children and their caregiver. Please plan to attend and be engaged with your child for this program. Drop offs will not be permitted.,2025-11-25T15:45:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"children, kids, Younger School Age (Grades K-2), Older School Age (Grades 3-5)",Larchmont Public Library
21,Spanish Conversations with María-Cristina Sánchez on Zoom,https://larchmont.librarycalendar.com/event/spanish-conversations-maria-cristina-sanchez-zoom-20263,"Join María-Cristina Sánchez and hone your Spanish skills. Ms Sánchez will propose discussion topics in Spanish for each session, providing participants with the opportunity to clarify pronunciation and meaning of words and expressions in an informal and relaxed environment. Participants should speak Spanish at an intermediate to advanced level and not be native speakers of Spanish. Ms. Sánchez is a native Spanish-speaker originally from Ecuador and has studied languages in Quito, Boston, Paris and Vienna. Registration is required once and then you will receive the Zoom link immediately and the day before each session.",2025-11-26T09:45:00,Online at Larchmont Public Library,,adults,Larchmont Public Library
22,Young & Restless - TICKET REQUIRED - NEW START TIME,https://larchmont.librarycalendar.com/event/young-restless-ticket-required-20949,"Explore the world of literacy with librarian Erin! She'll have themed songs, rhymes and books for your little ones to sing and clap to! AGES 0-3 *TICKET REQUIRED* tickets will be given out starting at 9:45am the day of the program *doors will close at 10:25am*. Caregivers must attend.",2025-11-26T10:15:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,"children, toddlers, kids, ages 0-3",Larchmont Public Library
