,event,link,description,when,location,price,target_age,organization
0,In the Warner Gallery: Varied Viewpoints: The Art of Violet Useda-Linder,https://www.mamaronecklibrary.org/events/in-the-warner-gallery-varied-viewpoints-the-art-of-violet-useda-linder/,In the Warner Gallery: Varied Viewpoints: The Art of Violet Useda-Linder,2025-11-19,Mamaroneck NY,,adults,Mamaroneck Public Library
1,Meditation with Jane (via Zoom),https://www.mamaronecklibrary.org/events/mindfulness-meditation-for-joy-harmony-health-with-jane-meryll/2025-11-20/,"Mindfulness Meditation for Joy, Harmony & Health with Jane Meryll. To register, please click here.",2025-11-20,Mamaroneck NY,,adults,Mamaroneck Public Library
2,Gentle Yoga,https://www.mamaronecklibrary.org/events/gentle-yoga-12/2025-11-20/,"Gentle Yoga. To Register, please click here.",2025-11-20,Mamaroneck NY,,adults,Mamaroneck Public Library
3,Pre-Ballet,https://www.mamaronecklibrary.org/events/pre-ballet/2025-11-20/,"Pre-Ballet. To register, please click here.",2025-11-20,Mamaroneck NY,,kids,Mamaroneck Public Library
4,Open Play! (for ages Toddler-K),https://www.mamaronecklibrary.org/events/open-play-for-ages-toddler-k/2025-11-20/,Open Play! (for ages Toddler-K),2025-11-20,Mamaroneck NY,,kids,Mamaroneck Public Library
5,Drop-In Craft,https://www.mamaronecklibrary.org/events/drop-in-craft/2025-11-21/,Drop-In Craft,2025-11-21,Mamaroneck NY,,kids,Mamaroneck Public Library
6,Tween Zone,https://www.mamaronecklibrary.org/events/tween-zone/2025-11-21/,Tween Zone,2025-11-21,Mamaroneck NY,,teens,Mamaroneck Public Library
7,Poetry as a Lens,https://www.mamaronecklibrary.org/events/poetry-as-a-lens/2025-11-21/,"Poetry as a Lens. To Register, please click here.",2025-11-21,Mamaroneck NY,,adults,Mamaroneck Public Library
8,CLOSED SUNDAYS,https://www.mamaronecklibrary.org/events/closed-sundays/2025-11-23/,CLOSED SUNDAYS,2025-11-23,Mamaroneck NY,,,Mamaroneck Public Library
9,Babytime with Beverley,https://www.mamaronecklibrary.org/events/babytime-with-beverley-3/2025-11-25/,Babytime with Beverley,2025-11-25,Mamaroneck NY,,kids,Mamaroneck Public Library
10,Quiet Study Room Time,https://www.mamaronecklibrary.org/events/quiet-study-room-time-2-2/2025-11-25/,Quiet Study Room Time,2025-11-25,Mamaroneck NY,,"adults, teens",Mamaroneck Public Library
11,CLOSED for Thanksgiving,https://www.mamaronecklibrary.org/events/closed-for-thanksgiving/2025-11-27/,CLOSED for Thanksgiving,2025-11-27,Mamaroneck NY,,,Mamaroneck Public Library
