,event,link,description,when,location,price,target_age,organization
0,Ethics Board Meeting,https://www.villageofmamaroneckny.gov/home/events/134846,Ethics Board Meeting,"Wednesday, November 19, 2025 - 4:30pm","Village Hall at the Regatta, 123 Mamaroneck Avenue, Mamaroneck, NY, 10543",,adults,Village of Mamaroneck
1,Year Round Recreation Ad Hoc Committee Meeting,https://www.villageofmamaroneckny.gov/home/events/146336,Year Round Recreation Ad Hoc Committee Meeting,2025-11-19T19:00:00,"Blue Room at the Pavilion, Village of Mamaroneck, 123 Mamaroneck Ave., Mamaroneck, NY 10543",,adults,Village of Mamaroneck
2,Beautification Committee Meeting,https://www.villageofmamaroneckny.gov/home/events/141371,"Beautification Committee Meeting. This meeting is scheduled for Wednesday, November 19, 2025, at 7:30 PM and will be held at The Regatta, 123 Mamaroneck Avenue, Mamaroneck, NY, 10543.",2025-11-19T19:30:00,"The Regatta, 123 Mamaroneck Avenue, Mamaroneck, NY, 10543",,adults,Village of Mamaroneck
3,Fire Council Meetings @ Volunteers Fire House,https://www.villageofmamaroneckny.gov/home/events/136791,Fire Council Meetings @ Volunteers Fire House,"Wednesday, November 19, 2025 - 7:30pm","Volunteers Fire House, 123 Mamaroneck Ave., Mamaroneck, NY 10543",,adults,Village of Mamaroneck
4,Harbor and Coastal Zone Management Commission Meeting,https://public.destinyhosted.com/agenda_publish.cfm?id=62627&mt=ALL&get_month=11&get_year=2025&dsp=ag&seq=131,Harbor and Coastal Zone Management Commission Meeting,2025-11-19T19:30:00,"Village Courtroom, 169 Mount Pleasant Avenue, Mamaroneck, NY, 10543.",,adults,Village of Mamaroneck
5,Board of Architectural Review Meeting,https://public.destinyhosted.com/agenda_publish.cfm?id=62627&mt=ALL&get_month=11&get_year=2025&dsp=ag&seq=132,Board of Architectural Review Meeting. This meeting will cover architectural review items for the Village of Mamaroneck.,2025-11-20T19:30:00,"Village Courtroom, 169 Mount Pleasant Avenue, Mamaroneck, NY, 10543",,adults,Village of Mamaroneck
6,59th Annual Turkey Trot & Gobbler Race,https://www.villageofmamaroneckny.gov/parks-recreation/turkey-trot,"The Village of Mamaroneck Parks and Recreation Department welcomes runners and spectators for the 59th annual Turkey Trot and Gobbler Race! The event will be held on Sunday, November 23rd at Harbor Island Park. Race day registration opens at 8:00am. The 1-mile Gobbler Race will begin at 9:45am and the 5K Turkey Trot will begin after completion of Gobbler Race. All registrants will receive a free t-shirt and medal.",2025-11-23T08:00:00,"Harbor Island Park, Village of Mamaroneck, NY",,"kids, teens, adults",Village of Mamaroneck
7,Board of Trustees Work Session,https://www.villageofmamaroneckny.gov/home/events/146331,Board of Trustees Work Session,2025-11-24 5:30pm,Courtroom @ 169 Mt. Pleasant Avenue,,adults,Village of Mamaroneck
8,Board of Trustees Legislative Meeting,https://www.villageofmamaroneckny.gov/home/events/134086,Board of Trustees Legislative Meeting,2025-11-24T18:30:00,"Village Courtroom, 169 Mount Pleasant Avenue, Mamaroneck, NY, 10543",,adults,Village of Mamaroneck
9,Fire Council Meetings @ Volunteers Fire House,https://www.villageofmamaroneckny.gov/home/events/139401,Fire Council Meetings @ Volunteers Fire House,2025-11-26T19:30:00,Volunteers Fire House,,adults,Village of Mamaroneck
10,Thanksgiving Day - All Non-Emergency Village Offices Are Closed,https://www.villageofmamaroneckny.gov/home/events/133501,"All Non-Emergency Village offices are closed on Thursday, November 27 in honor of Thanksgiving Day. There will be no garbage, organic, food scrap, rubbish, or recycling collection on Thursday, November 27. The Recycling Center, including the Compost Drop-Off Program, at 313 Fayette Avenue is closed. The Marine Education Center at Harbor Island Park is also closed.",2025-11-27,Village of Mamaroneck,,adults,Village of Mamaroneck
11,All Non-Emergency Village Offices Closed,https://www.villageofmamaroneckny.gov/home/events/133506,"All Non-Emergency Village offices are closed on Friday, November 28. However, normal Friday garbage/rubbish pickup will take place as scheduled. The Recycling Center, including the Compost Drop-Off Program, at 313 Fayette Avenue is closed. The Marine Education Center at Harbor Island Park is also closed.","Friday, November 28, 2025 (All day)",Village of Mamaroneck,,adults,Village of Mamaroneck
12,Board of Trustees Annual Organizational Meeting,https://www.villageofmamaroneckny.gov/home/events/134096,Board of Trustees Annual Organizational Meeting,2025-12-01T19:00:00,"Village Courtroom, 169 Mount Pleasant Avenue, Mamaroneck, NY, 10543",,adults,Village of Mamaroneck
13,Budget Committee Meeting,https://www.villageofmamaroneckny.gov/home/events/134596,Budget Committee Meeting,2025-12-02T19:00:00,"Village Hall at the Regatta, 123 Mamaroneck Ave., Mamaroneck, NY, 10543",,adults,Village of Mamaroneck
14,Board of Architectural Review Meeting- Cancelled,https://www.villageofmamaroneckny.gov/home/events/134216,Board of Architectural Review Meeting- Cancelled,2025-12-02T19:30:00,"Village Courtroom, 169 Mount Pleasant Avenue, Mamaroneck, NY, 10543",,adults,Village of Mamaroneck
15,Courtroom Unavailable,https://www.villageofmamaroneckny.gov/home/events/140086,Courtroom Unavailable,"Wednesday, December 3, 2025 - 6:00pm to 8:00pm","123 Mamaroneck Ave., Mamaroneck, NY 10543",,adults,Village of Mamaroneck
16,Parks & Recreation Commission Meeting,https://www.villageofmamaroneckny.gov/home/events/134536,Parks & Recreation Commission Meeting,2025-12-03T19:00:00,"Village Courtroom, 169 Mount Pleasant Avenue, Mamaroneck, NY, 10543",,adults,Village of Mamaroneck
