,event,link,description,when,location,price,target_age,organization
0,Bostyx – The Ultimate Tribute to Boston and Styx,https://emelin.org/event/bostyx-the-ultimate-tribute-to-boston-and-styx/,"Boston and Styx’s greatest hits brought to life with pitch-perfect energy. This powerhouse band delivers a thrilling, note-for-note recreation of hits like More Than a Feeling, Peace of Mind, Renegade, and Come Sail Away, capturing the soaring harmonies, powerful guitars, and unmistakable energy of two of rock’s most legendary acts.",2025-10-03T20:00:00-04:00,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY, 10543, United States",$44 – $55,adults,Village of Mamaroneck
1,Hilary Kole and Birdland Big Band,https://emelin.org/event/hilary-kole-and-birdland-big-band/,"Celebrated jazz vocalist Hilary Kole and the legendary Birdland Big Band pay homage to Ella Fitzgerald and the jazz greats. Known for her interpretations of the Great American Songbook and collaborations with icons like Oscar Peterson and Quincy Jones, her vocals, described as both smoky and crystalline, breathe new life into jazz classics and contemporary gems alike. Backed by the powerhouse Birdland Big Band, this concert delivers the full impact of big band jazz at its finest.",2025-10-04T20:00:00,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543, United States",$52 – $71,adults,Village of Mamaroneck
2,Fall Film Club 2025 #2,https://emelin.org/event/fall-film-club-2025-2/,"Be among the first to see highly critically acclaimed curated films that are not yet available to the public. The Emelin Film Club is a subscription series curated by film programmer David Schwartz, and includes five films, exclusive post-film interviews, reserved seating, and a members-only e-newsletter. Beer, wine, and snacks are available for purchase. A complimentary reception is included for members. Film titles are kept secret until showtime.",2025-10-08,Emelin Theatre,$125,adults,Village of Mamaroneck
3,The Linda Ronstadt Experience,https://emelin.org/event/the-linda-ronstadt-experience/,"American Idol Star Tristan McIntosh creates a stunning portrayal of Linda Ronstadt in the prime of her career. Supported by a superb backing band, Tristan’s formidable vocal talent and stage presence will transport you to a time when Linda Ronstadt ruled the airwaves as one of the most popular female vocalists in music history. The Linda Ronstadt Experience takes you on a Musical Journey of Chart Topping Smash Hits, You’re No Good, When Will I Be Loved, That’ll Be The Day, Blue Bayou and many more classic hits by Jackson Brown, Elvis Costello, Tom Petty, Neil Young, Warren Zevon, The Rolling Stones, and Little Feat to name a few!",2025-10-10T20:00:00,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543, United States",$44 – $55,adults,Village of Mamaroneck
4,Ladies of Laughter,https://emelin.org/event/ladies-of-laughter-3/,"Award-winning comics Katie Hannigan, Veronica Mosey & Regina DeCicco, bring the comedy to the stage. Ladies of Laughter returns with a fresh lineup of bold, brilliant, and razor-sharp women who prove just how hard funny can hit. Veronica Mosey is ""One of Five Comics to Watch"" according to Rolling Stone. Katie Hannigan has been seen on The Late Show with Stephen Colbert, The Late Late Show, and Comedy Central. Regina Decicco is the winner of Ladies of Laughter and ""Lower Hudson Valley's Funniest Person.""",2025-10-11T20:00:00,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543, United States",$47 – $59,adults,Village of Mamaroneck
5,Ailey II,https://emelin.org/event/ailey-ii/,"For over 50 years, Ailey II – The Next Generation of Dance – has merged the spirit and energy of the country’s finest early-career dance talent with the passion and creative vision of today’s most outstanding and emerging choreographers. Founded by Alvin Ailey in 1974, this universally renowned company embodies his pioneering mission to establish an extended cultural community that provides dance performances, training, and community programs for all people. Under the leadership of Sylvia Waters, who served as artistic director for 38 seasons, Ailey II flourished into one of the most popular modern dance companies, combining a rigorous touring schedule with extensive community outreach programs. Today, with Artistic Director Francesca Harper at the helm, she brings fresh perspectives to Mr. Ailey’s legacy, while nurturing new creative voices and propelling the company forward.",2025-10-12,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543, United States",$86 – $98,adults,Village of Mamaroneck
6,Naturally 7,https://emelin.org/event/naturally-7/,"Experience the mind-blowing sounds of Naturally 7, the groundbreaking vocal play group redefining a cappella. Using only their voices, these seven masterful musicians create the sound of an entire band—drums, bass, horns, guitars, and more. Praised worldwide for their jaw-dropping live performances, Naturally 7 blends R&B, pop, gospel, and soul with unmatched technical brilliance and stage presence.",2025-10-17T20:00:00,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543, United States",$55 – $67,adults,Village of Mamaroneck
7,Fearless - The Taylor Swift Experience,https://emelin.org/event/fearless-the-taylor-swift-experience/,"Experience every era of Taylor Swift’s music in one unforgettable night with the ultimate live tribute show. Calling all Swifties! Relive the magic of every Taylor era with Fearless – The Taylor Swift Experience, the ultimate live tribute for fans who know every lyric, every outfit, and every beat drop. From the fairy-tale shimmer of Love Story to the bold confidence of Blank Space and the sparkly chaos of Cruel Summer, this high-energy concert recreates the full Taylor experience — with jaw-dropping vocals, dazzling costumes, and Eras-worthy production. Whether you’re a diehard from the Debut days or fell in love during Folklore, this is your chance to sing, dance, and scream every word with a room full of fans who get it. Fearless isn’t just a show — it’s a Swiftie celebration.",2025-10-19,"Emelin Theatre, 153 Library Lane Mamaroneck, NY 10543 United States",$41 – $53,"teens, adults",Village of Mamaroneck
8,Fall Film Club 2025 #3,https://emelin.org/event/fall-film-club-2025-3/,"Be among the first to see highly critically acclaimed curated films that are not yet available to the public. The Emelin Film Club is a subscription series; tickets for individual films are not available for purchase. Participation includes five critically acclaimed curated films curated by film programmer David Schwartz, exclusive post film interviews, reserved seating, and an e-Newsletter. Beer, Wine & Snacks are available for purchase at our Lobby Bar, and there is a complimentary Film Club Members Only Reception. Film titles are kept secret until showtime.",2025-10-22,Emelin Theatre,$125,adults,Village of Mamaroneck
9,Don't Let the Pigeon Drive the Bus! The Musical!,https://emelin.org/event/dont-let-the-pigeon-drive-the-bus-the-musical-2/,"#1 New York Times best-selling, Caldecott Honor award-winning “Pigeon” picture books by Mo Willems come to life on stage! Featuring music by Deborah Wicks La Puma, this musical is based on Mo Willems's popular book series. The show follows the Pigeon as he tries to take the wheel of a bus, leading to a comical adventure. The approximate running time is 60 minutes.",2025-10-26T11:00:00-04:00,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543 United States",$27 youth / $32 adults,4-7,Village of Mamaroneck
