,event,link,description,when,location,price,target_age,organization
0,The Center for Continuing Education Student Art Show,https://larchmont.librarycalendar.com/event/center-continuing-education-student-art-show-27901,"The Center for Continuing Education is proudly hosting a Student Art Show in the Oresman Gallery at the Larchmont Library this Fall! Featuring 40 pieces of artwork from our students in watercolor, drawing, acrylics, and pastels. Come one and all to celebrate the visual arts created by students of The Center! Reception: Saturday, Sept 6th from 2-4pm",2025-09-06T14:00:00,"Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,adults,Larchmont Public Library
1,Movie Discussion with Paul Doherty on Zoom,https://larchmont.librarycalendar.com/event/movie-discussion-paul-doherty-zoom-20235,"Watch Mustang, any time before September 29th at 10am on our free Kanopy streaming service or place a hold on a DVD. In a remote village in Turkey, five orphaned sisters are denied their independence by their strict adult guardians after they are caught socializing with male classmates. Soon, they are locked in their home, deprived of communication with the outside world, and are schooled in domestic lessons while their custodians plan their arranged marriages. But the close-knit siblings rebel against these restrictions, and fight for a future in which they are free to make their own choices. Mustang is the feature-film debut of Deniz Gamze Erguven, and is France's official 2015 submission to the Academy of Motion Picture Arts and Sciences for Best Foreign Language Film. Don't have a Kanopy account yet? Click here to get started with your library card to watch the film. Registration is required for this event. Registration will close on December 15, 2025 @ 10:00am. This event uses combined registration. If you register for this event, you will also be registering for all other occurrences. Registration is required once and then you will receive the Zoom link immediately and the day before each session.",2025-09-29T10:00:00,Online at Larchmont Public Library,,adults,Larchmont Public Library
2,Drop-in Coloring Hour,https://larchmont.librarycalendar.com/event/drop-coloring-hour-29725,"Stop by our program room to create with crayons and coloring sheets. *Children ages 2 & up with their caregivers*. This is a drop-in program, no registration is required. Caregiver must attend.",2025-09-29T10:00:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"kids, adults, toddlers, preschoolers",Larchmont Public Library
3,Open Play Mahjong and Canasta,https://larchmont.librarycalendar.com/event/open-play-mahjong-23391,"Come to the library to play Mahjong and/or Canasta! This is open game-play for players of all levels as long as you understand the basics of game play. The library has Mah Jongg sets and playing cards, but players are encouraged to bring their own. This is a drop in program. No registration required.",2025-09-29T12:00:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,adults,Larchmont Public Library
4,Afternoon Stories & Craft,https://larchmont.librarycalendar.com/event/afternoon-stories-craft-27732,Join Linnea or Kristi for some fun stories and an accompanying craft. Caregivers must attend and be engaged with their child. Drop offs are not permitted. Registration is required.,2025-09-29T15:45:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"children, preschool (3-4), younger school age (grades k-2)",Larchmont Public Library
5,Project Linus: Knitting and Crochet Group,https://larchmont.librarycalendar.com/event/project-linus-knitting-and-crochet-group-19578,"Come join our weekly knitting and crocheting group and help make security blankets for children who need a little comfort. We donate to Hospitals, Day Care Centers, Food Banks (such as L/M Food Pantry), and other places where there are children who need a little support. No registration required. Bring your own materials! If you have questions or wish to make a donation please contact Doris-Patt Smith at momdsmith1@yahoo.com",2025-09-30T10:00:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,adults,Larchmont Public Library
6,Knowledge is Power: Financial Strategies for Women,https://larchmont.librarycalendar.com/event/albertine-gibbs-program-27293,"This seminar is intended for female audiences. Patrons will learn ways to gain control over their financial situation; protect the people and things they love the most and make informed financial decisions. Hosted by Albertine Gibbs, CFP with Opus: Advice First, A private wealth advisory practice of Ameriprise Financial Services, LLC.",2025-09-30T14:00:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,adults,Larchmont Public Library
7,LEGO Free Play,https://larchmont.librarycalendar.com/event/lego-free-play-27693,"Come to the library and see what you can create from our library LEGO collection. *This is a drop-in, self-guided program, please clean up when you are finished playing*. Caregiver Must Attend: This program is designed for children and their caregiver. Please plan to attend and be engaged with your child for this program. Drop offs will not be permitted.",2025-09-30T15:45:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"kids, adults, Children, Younger School Age (Grades K-2), Older School Age (Grades 3-5)",Larchmont Public Library
8,OLD • NEW• AGAIN by Barbara Glab,https://larchmont.librarycalendar.com/event/old-new-again-barbara-glab-29145,"Barbara Glab returns to showcase her quilt artistry at the Larchmont Public Library Oresman Gallery. Sewing is her passion, and her list of quilt projects continues to grow. She looks forward to sharing her colorful exhibit with you.",2025-10-01T00:00:00,"The Oresman Gallery at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,adults,Larchmont Public Library
9,Spanish Conversations with María-Cristina Sánchez on Zoom,https://larchmont.librarycalendar.com/event/spanish-conversations-maria-cristina-sanchez-zoom-20259,"Join María-Cristina Sánchez and hone your Spanish skills. Ms Sánchez will propose discussion topics in Spanish for each session, providing participants with the opportunity to clarify pronunciation and meaning of words and expressions in an informal and relaxed environment. Participants should speak Spanish at an intermediate to advanced level and not be native speakers of Spanish. Ms. Sánchez is a native Spanish-speaker originally from Ecuador and has studied languages in Quito, Boston, Paris and Vienna.",2025-10-01T09:45:00,Online at Larchmont Public Library,,adults,Larchmont Public Library
