,event,link,description,when,location,price,target_age,organization
0,Coastal Zone Management Commission Meeting,https://www.townofmamaroneckny.gov/Calendar.aspx?EID=1431&month=10&year=2025&day=12&calType=0,"Coastal Zone Management Commission Meeting. The meeting will be held on Monday, October 27, 2025, at 7:30 PM in Town Center Conference Room ""D"", located at 740 West Boston Post Road, 1st Floor, Mamaroneck, NY 10543.",2025-10-27T19:30:00,"Town Center Conference Room ""D"", 740 West Boston Post Road, 1st Floor, Mamaroneck, NY 10543",,adults,Town of Mamaroneck
1,Sustainability Collaborative Monthly Meeting,https://www.townofmamaroneckny.gov/324/Sustainability-Collaborative,"Sustainability Collaborative Monthly Meeting held on Tuesday, November 11, 2025, from 6:00 PM to 8:00 PM at the Mamaroneck Senior Center. This meeting is part of the Our Town, Our Future initiative.",2025-11-11T18:00:00,"Mamaroneck Senior Center, 1288 Boston Post Road, Larchmont, NY 10538",,adults,Town of Mamaroneck
2,Town Center Closed - Columbus Day,https://www.townofmamaroneckny.gov/Calendar.aspx?EID=1494&month=10&year=2025&day=12&calType=0,"Town Center is closed, due to Columbus Day. Garbage will be collected.",2025-10-13T00:00:00,"Town Center, Mamaroneck, NY 10543",,adults,Town of Mamaroneck
3,Town of Mamaroneck Recreation Commission,https://www.townofmamaroneckny.gov/Calendar.aspx?EID=1472&month=10&year=2025&day=12&calType=0,"A Meeting of the Town of Mamaroneck Recreation Commission will be held on Tuesday, October 14, 2025, at 7:00 PM at the Senior Center, 1288 Boston Post Road, Larchmont NY 10538.",2025-10-14T19:00:00,"Mamaroneck Senior Center, 1288 Boston Post Road, Larchmont, NY 10538",,adults,Town of Mamaroneck
4,Town Board Meeting,https://www.townofmamaroneckny.gov/Calendar.aspx?EID=1479&month=10&year=2025&day=12&calType=0,"The Town Board will meet for a regularly scheduled worksession meeting beginning, untelevised, but open to the public, at 5:00 PM. The Town Board Meeting will continue at 8:00 PM., televised on Cablevision (Optimum) 75, 76, 77 or Verizon (Fios) 34, 35, 36) and streamed live over the internet at the following web address https://lmcmedia.org.

Town Center
740 West Boston Post Road

The Town Board will meet for a regularly scheduled worksession meeting beginning, untelevised, but open to the public, at 5:00 PM. The Town Board Meeting will continue at 8:00 PM., televised on Cablevision (Optimum) 75, 76, 77 or Verizon (Fios) 34, 35, 36) and streamed live over the internet at the following web address https://lmcmedia.org.",2025-10-20T17:00:00,"Town Center 740 West Boston Post Road Mamaroneck, NY 10543",,adults,Town of Mamaroneck
5,Budget Worksession Meeting,https://www.townofmamaroneckny.gov/Calendar.aspx?EID=1587&month=10&year=2025&day=12&calType=0,"LEGAL NOTICE
BUDGET WORKSESSIONS
TOWN BOARD OF THE TOWN OF MAMARONECK
NOTICE IS HEREBY GIVEN that the Town Board of the Town of Mamaroneck has scheduled the following Budget Worksession Meetings:
• 10/23 - 2:00 p.m. to 5:30 p.m.
• 10/25 - 8:00 a.m. to 11:00 a.m.
• 10/30 - 5:00 p.m. to 9:00 p.m.
These will be held at the Town Center, 740 W Boston Post Road, Mamaroneck, NY 10543
BY ORDER OF THE TOWN BOARD
OF THE TOWN OF MAMARONECK",2025-10-23T14:00:00,"Town Center, 740 West Boston Post Road, Mamaroneck, NY 10543",,adults,Town of Mamaroneck
6,Budget Worksession Meeting,https://www.townofmamaroneckny.gov/Calendar.aspx?EID=1588&month=10&year=2025&day=12&calType=0,"LEGAL NOTICE
BUDGET WORKSESSIONS
TOWN BOARD OF THE TOWN OF MAMARONECK
NOTICE IS HEREBY GIVEN that the Town Board of the Town of Mamaroneck has scheduled the following Budget Worksession Meetings:
• 10/23 - 2:00 p.m. to 5:30 p.m.
• 10/25 - 8:00 a.m. to 11:00 a.m.
• 10/30 - 5:00 p.m. to 9:00 p.m.
These will be held at the Town Center, 740 W Boston Post Road, Mamaroneck, NY 10543
BY ORDER OF THE TOWN BOARD
OF THE TOWN OF MAMARONECK",2025-10-25T08:00:00,Town Center,,adults,Town of Mamaroneck
7,Early Voting Begins,https://www.townofmamaroneckny.gov/268/Voter-Information,"Continues through November 2nd, hours vary",2025-10-25T10:00:00 - 18:00:00,"Town Center, 740 West Boston Post Road, Mamaroneck, NY 10543",,adults,Town of Mamaroneck
8,Westchester Mobile Shredder Event,https://www.townofmamaroneckny.gov/Calendar.aspx?EID=1567&month=10&year=2025&day=12&calType=0,"Westchester Mobile Shredder Event

Westchester Mobile Shredder Event is scheduled for Saturday, October 25, 2025, from 10:00 AM to 1:00 PM at the Maxwell Avenue Facility, located at 40 Maxwell Avenue, Larchmont, NY 10538.",2025-10-25T10:00:00,Maxwell Avenue Facility,,adults,Town of Mamaroneck
9,Hommocks Park Ice Rink 50th Anniversary,https://www.townofmamaroneckny.gov/ImageRepository/Document?documentID=7512,Celebrate the 50th Anniversary of the Hommocks Park Ice Rink! What's a better way to celebrate than skating at your favorite rink? Join us for a 1970's themed celebration.,2025-10-26T12:00:00,"Hommocks Park Ice Rink, 140 Hommocks Road, Larchmont, NY 10538",,"kids, teens, adults",Town of Mamaroneck
10,Repair Cafe,https://www.townofmamaroneckny.gov/ImageRepository/Document?documentID=7697,"Bring your broken items to the Mamaroneck Senior Center on Sunday, October 26, 2025, from 12:00 PM to 4:00 PM for repair. This event is held at 1288 Boston Post Road, Larchmont, NY 10538.",2025-10-26T12:00:00,Mamaroneck Senior Center,,adults,Town of Mamaroneck
11,Traffic Committee Meeting,https://www.townofmamaroneckny.gov/Calendar.aspx?EID=1580&month=10&year=2025&day=12&calType=0,"A Meeting of the Town of Mamaroneck Traffic Committee will be held on Wednesday, October 29, 2025, at 7:00 PM, in the Courtroom at the Town Center, 740 W Boston Post Road, Mamaroneck, NY 10543.

Town Center Courtroom740 West Boston Post Road

A Meeting of the Town of Mamaroneck Traffic Committee will be held on Wednesday, October 29, 2025, at 7:00 PM, in the Courtroom at the Town Center, 740 W Boston Post Road, Mamaroneck, NY 10543.",2025-10-29T19:00:00,"Town Center Courtroom, 740 West Boston Post Road, Mamaroneck, NY 10543",,adults,Town of Mamaroneck
12,Budget Worksession Meeting,https://www.townofmamaroneckny.gov/Calendar.aspx?EID=1589&month=10&year=2025&day=12&calType=0,"LEGAL NOTICE
BUDGET WORKSESSIONS
TOWN BOARD OF THE TOWN OF MAMARONECK
NOTICE IS HEREBY GIVEN that the Town Board of the Town of Mamaroneck has scheduled the following Budget Worksession Meetings:
• 10/23 - 2:00 p.m. to 5:30 p.m.
• 10/25 - 8:00 a.m. to 11:00 a.m.
• 10/30 - 5:00 p.m. to 9:00 p.m.
These will be held at the Town Center, 740 W Boston Post Road, Mamaroneck, NY 10543
BY ORDER OF THE TOWN BOARD
OF THE TOWN OF MAMARONECK",2025-10-30T17:00:00,"Town Center, 740 West Boston Post Road, Mamaroneck, NY 10543",,adults,Town of Mamaroneck
13,TMFD Haunted Firehouse Event,https://www.townofmamaroneckny.gov/Calendar.aspx?EID=1583&month=10&year=2025&day=12&calType=0,"TMFD Haunted Firehouse Event
Friday, October 31, 2025
Time: 5:00 PM",2025-10-31T17:00:00,"Town of Mamaroneck Fire Department, 205 Weaver St., Larchmont, NY 10538",,"kids, teens, adults",Town of Mamaroneck
14,Town Board Meeting,https://www.townofmamaroneckny.gov/Calendar.aspx?EID=1480&month=10&year=2025&day=12&calType=0,"The Town Board will meet for a regularly scheduled worksession meeting beginning, untelevised, but open to the public, at 5:00 PM. The Town Board Meeting will continue at 8:00 PM., televised on Cablevision (Optimum) 75, 76, 77 or Verizon (Fios) 34, 35, 36) and streamed live over the internet at the following web address https://lmcmedia.org.",2025-11-05T17:00:00,"Town Center, 740 West Boston Post Road, Mamaroneck, NY 10543",,adults,Town of Mamaroneck
15,Sanitation Services - No Collection,https://www.townofmamaroneckny.gov/Calendar.aspx?EID=1496&month=10&year=2025&day=12&calType=0,"Garbage will not be collected, due to Veteran's Day.",2025-11-11T00:00:00,"Town of Mamaroneck, NY 10543",,adults,Town of Mamaroneck
16,Sustainability Collaborative Monthly Meeting,https://www.townofmamaroneckny.gov/324/Sustainability-Collaborative,Sustainability Collaborative Monthly Meeting. This meeting will cover the latest sustainability initiatives and projects for the Town of Mamaroneck.,2025-11-11T18:00:00,"Mamaroneck Senior Center, 1288 Boston Post Road, Larchmont, NY 10538",,adults,Town of Mamaroneck
