stee,source,title,desc,when,,,location,Price,Special Info,Instructor
0,Emelin Theater,Moms Unhinged Standup Comedy Show,,"23, Jul, 2025",,,Emelin Theater,,,
1,Emelin Theater,Pompeii Floyd: Live at Pompeii,Performing the iconic music of Pink Floyd with visuals recreating both the Live at Pompeii concert and The Darkside of the Mo...,"25, Jul, 2025",,,Emelin Theater,,,
2,Emelin Theater,Little Lies: A Tribute to Fleetwood Mac,Fleetwood Mac tribute experience that captures the youthful spirit and classic sound.,"31, Jul, 2025",,,Emelin Theater,,,
3,Emelin Theater,Concerts in the Park 2025,,"06, Aug, 2025",,,Emelin Theater,,,
4,Emelin Theater,Judy Gold,Two-time Emmy Award winner Judy Gold brings her sharp wit and unfiltered humor to the stage.,"18, Sep, 2025",,,Emelin Theater,,,
5,Emelin Theater,Bostyx - The Ultimate Tribute to Boston and Styx,Boston and Styx's greatest hits brought to life with pitch-perfect energy.,"03, Oct, 2025",,,Emelin Theater,,,
6,Emelin Theater,Hilary Kole and Birdland Big Band,Celebrated jazz vocalists and Birdland Big Band pay homage to Ella Fitzgerald and the jazz greats,"04, Oct, 2025",,,Emelin Theater,,,
7,Emelin Theater,The Linda Ronstadt Experience,American Idol Star Tristan McIntosh creates a stunning portrayal of Linda Ronstadt in the prime of her career.,"10, Oct, 2025",,,Emelin Theater,,,
8,Emelin Theater,Ladies of Laughter,"Award-winning comics Katie Hannigan, Veronica Mosey & Regina DeCicco, bring the comedy to the stage.","11, Oct, 2025",,,Emelin Theater,,,
9,Emelin Theater,Ailey II,"For 50+ years, Ailey II has brought rising dancers and choreographers together in bold, world-class performances.","12, Oct, 2025",,,Emelin Theater,,,
10,Emelin Theater,Naturally 7,Naturally 7: the world's premier vocal play group turns voices into instruments.,"17, Oct, 2025",,,Emelin Theater,,,
11,Emelin Theater,Fearless - The Taylor Swift Experience,"Experience every era of Taylor Swift's music in one unforgettable night with Fearless ""“ The Taylor Swift Experience, the ...","19, Oct, 2025",,,Emelin Theater,,,
12,Emelin Theater,Lillias White,Tony-winning Broadway star with an electrifying voice and heart.,"25, Oct, 2025",,,Emelin Theater,,,
13,Emelin Theater,Don't Let the Pigeon Drive the Bus! The Musical,"#1 New York Times best-selling, Caldecott Honor award-winning ""Pigeon"" picture books by Mo Willems come to life on stage!","26, Oct, 2025",,,Emelin Theater,,,
14,Emelin Theater,Crystal Ship: The Doors Live,Crystal Ship brings the raw energy of Jim Morrison to life in a powerful Doors tribute packed with hits & vintage rock vibes.,"01, Nov, 2025",,,Emelin Theater,,,
15,Emelin Theater,Devonte Magic,Mind-blowing magic and mentalism from a world-class performer.,"08, Nov, 2025",,,Emelin Theater,,,
16,Emelin Theater,An Evening with Jim Messina,"Jim Messina performs his hits from Buffalo Springfield, Poco, and Loggins & Messina.","15, Nov, 2025",,,Emelin Theater,,,
17,Emelin Theater,Storm Large: Holiday Ordeal,"Keep the kids home, and blend holiday classics with rock and cabaret for an unforgettable night.","05, Dec, 2025",,,Emelin Theater,,,
18,Emelin Theater,Koo Koo,"Sesame Street meets the Beastie Boys in this hilarious, interactive kids' concert that will be a guaranteed blast.","06, Dec, 2025",,,Emelin Theater,,,
19,Emelin Theater,The Martin Sexton Abbey Road Show,Martin Sexton returns and reimagines The Beatles' Abbey Road with soul and passion.,"06, Dec, 2025",,,Emelin Theater,,,
20,Emelin Theater,Isle of Klezbos,"The soulful, fun-loving powerhouse all women's sextet fuses klezmer tradition with jazz, swing, and global influences.","07, Dec, 2025",,,Emelin Theater,,,
21,Emelin Theater,"Click, Clack, Moo",,"25, Jan, 2026",,,Emelin Theater,,,
22,Emelin Theater,Doktor Kaboom! Look Out! Science is Coming!,,"01, Feb, 2026",,,Emelin Theater,,,
23,Emelin Theater,John Pizzarelli Trio,"World-renowned jazz guitarist and singer, blending old-school charm with modern flair","07, Feb, 2026",,,Emelin Theater,,,
24,Emelin Theater,The Stinky Cheese Man & Other Fairly Stupid Tales,"Classic fairy tales get a silly makeover in this fast-paced, family-friendly show full of laughs and surprises.""‹","01, Mar, 2026",,,Emelin Theater,,,
25,Emelin Theater,Cat Kid Comic Club: the Musical,"Frogs, comics, and chaos! Cat Kid Comic Club: The Musical is a laugh-out-loud adventure for the whole family.","12, Apr, 2026",,,Emelin Theater,,,
26,Emelin Theater,Ann Hampton Callaway,"Tony-winner brings soul, style, and songbook classics to life in a night of unforgettable jazz and vocal artistry.","24, Apr, 2026",,,Emelin Theater,,,
